"","UTC_START"
"1","2019-11-06 00:00:00"
"2","2019-11-22 05:00:00"
"3","2019-12-10 14:00:00"
"4","2020-01-03 15:00:00"
"5","2020-01-03 16:00:00"
"6","2020-01-03 17:00:00"
"7","2020-01-03 18:00:00"
"8","2020-01-03 19:00:00"
"9","2020-01-03 20:00:00"
"10","2020-01-03 21:00:00"
"11","2020-01-03 22:00:00"
"12","2020-01-03 23:00:00"
"13","2020-01-04 00:00:00"
"14","2020-01-04 01:00:00"
"15","2020-01-04 02:00:00"
"16","2020-01-04 03:00:00"
"17","2020-01-04 04:00:00"
"18","2020-01-04 05:00:00"
"19","2020-01-04 06:00:00"
"20","2020-01-04 07:00:00"
"21","2020-01-04 08:00:00"
"22","2020-01-04 09:00:00"
"23","2020-01-04 10:00:00"
"24","2020-01-04 11:00:00"
"25","2020-01-04 12:00:00"
"26","2020-02-24 22:00:00"
"27","2020-02-24 23:00:00"
"28","2020-02-25 00:00:00"
"29","2020-02-25 01:00:00"
"30","2020-02-25 02:00:00"
"31","2020-02-25 03:00:00"
"32","2020-02-25 04:00:00"
"33","2020-02-25 05:00:00"
"34","2020-02-25 06:00:00"
"35","2020-02-25 07:00:00"
"36","2020-02-25 08:00:00"
"37","2020-02-25 09:00:00"
"38","2020-02-25 10:00:00"
"39","2020-02-25 11:00:00"
"40","2020-02-25 12:00:00"
"41","2020-02-25 13:00:00"
"42","2020-05-20 13:00:00"
"43","2020-06-21 07:00:00"
"44","2020-07-03 09:00:00"
"45","2020-07-10 12:00:00"
"46","2020-07-28 17:00:00"
"47","2020-08-03 01:00:00"
"48","2020-08-23 04:00:00"
"49","2020-12-04 00:00:00"
"50","2020-12-07 23:00:00"
"51","2021-05-01 05:00:00"
"52","2021-05-06 12:00:00"
